50 1 14.1516 -0.003789 12.3322 3.0692e-7
50 10 13.4859 -0.00375368 11.2712 2.8742643286367e-6
50 100 12.7906 -0.00375819 10.2165 3.3986231385252e-6
50 1000 12.0559 -0.00380481 9.1626 4.1104691899188e-6
100 1 19.5574 -0.00375975 13.2161 1.06608426920e-8
100 10 18.6767 -0.00384439 12.1239 5.7981590276863e-6
100 100 17.7449 -0.00393387 11.0252 6.6524554134364e-6
100 1000 16.7532 -0.00402547 9.92044 7.5413456748106e-6
200 1 26.7252 -0.00408936 13.9398 7.5540186504e-9
200 10 25.5643 -0.00414916 12.8119 9.3699278909308e-6
200 100 24.3377 -0.00420668 11.6818 9.9496692226133e-6
200 1000 23.0332 -0.00426159 10.5496 0.0000105109329278211
500 1 39.814 -0.00434326 14.7232 5.6087535552e-9
500 10 38.2086 -0.0043712 13.5803 0.0000119913443370075
500 100 36.5075 -0.00439742 12.4366 0.0000122652761526827
500 1000 34.6927 -0.00442188 11.2922 0.0000125227030482112
1000 1 53.2292 -0.00443113 15.2703 5.2470809838e-9
1000 10 51.2302 -0.00444739 14.1234 0.0000128958800256514
1000 100 49.105 -0.00446249 12.9762 0.0000130550322200169
1000 1000 46.8297 -0.00447644 11.8286 0.0000132028473431665
2000 1 70.2454 -0.00447583 15.803 4.9295299227e-9
2000 10 67.8246 -0.00448611 14.6543 0.0000133535858966169
2000 100 65.241 -0.00449557 13.5055 0.0000134538118811875
2000 1000 62.4636 -0.00450424 12.3564 0.0000135460412763154
